City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mareeba,AU,72.45,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
2,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
3,Lodwar,KE,76.93,light rain,3.1191,35.5973,Solmar Gracious Hotel
4,Sabang,ID,83.16,overcast clouds,5.8933,95.3214,Hotel Citra
10,Minab,IR,89.92,haze,27.1467,57.0801,Bam campground
11,Bandarbeyla,SO,78.84,scattered clouds,9.4942,50.8122,JABIR HOTEL
12,Lamar,US,89.58,clear sky,33.6668,-95.5836,Kings Inn Paris TX
17,Surt,LY,79.14,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
18,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
22,Rikitea,PF,74.46,scattered clouds,-23.1203,-134.9692,People ThankYou
23,Leesburg,US,78.94,clear sky,39.1157,-77.5636,"Homewood Suites by Hilton Leesburg, VA"
26,Tall Kayf,TR,75.54,clear sky,37.0833,41.0667,
28,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Roebourne,AU,70.39,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
33,Mayo,US,79.68,heavy intensity rain,38.8876,-76.5119,Resorts Resource Group International
35,Hilo,US,86.29,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,Tarragona,ES,71.31,clear sky,41.129,1.249,Hotel SB Ciutat de Tarragona
44,Atuona,PF,77.63,light rain,-9.8,-139.0333,Villa Enata
46,Komsomolskiy,UZ,86.72,clear sky,40.4272,71.7189,Ikathouse
52,Monte Alegre,BR,75.45,broken clouds,-2.0078,-54.0692,Hotel Shekinah
56,Walla Walla,US,83.17,clear sky,46.0646,-118.343,"Holiday Inn Express Walla Walla, an IHG Hotel"
60,Ouallam,NE,89.55,scattered clouds,14.3188,2.0866,
65,Lanxi,CN,91.08,clear sky,29.2195,119.477,Shangri-La Hotel
69,Padang,ID,86.05,scattered clouds,-0.9492,100.3543,Mercure Padang
70,Suzhou,CN,92.8,scattered clouds,31.3114,120.6181,Holiday Inn Jasmine Suzhou
72,Huntsville,US,82.4,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
76,San Antero,CO,79.52,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
78,Lorengau,PG,84.09,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
79,Awallan,PH,90.39,broken clouds,17.9244,121.913,Bunuga Baggao Cagayan
85,Saint George,US,97.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
88,Oussouye,SN,78.71,clear sky,12.485,-16.5469,Auberge du Routard
90,Atar,MR,92.7,scattered clouds,20.5169,-13.0499,Oumou Elghoura
95,Thinadhoo,MV,82.54,overcast clouds,0.5333,72.9333,
96,Vodnyy,RU,72.91,broken clouds,63.5046,53.4095,Каменка
98,Kazuno,JP,81.64,scattered clouds,40.1836,140.7872,Anbe
99,Touros,BR,74.14,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
102,Elat,IL,80.44,clear sky,29.5581,34.9482,Club Hotel Eilat
103,Takoradi,GH,75.6,overcast clouds,4.8845,-1.7554,Raybow International Hotel
105,Sabzevar,IR,70.88,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
106,Pointe Michel,DM,80.74,overcast clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
107,Estelle,US,84.2,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
110,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
113,Luis Gil Perez,MX,79.92,overcast clouds,17.8667,-93.05,Rancho Miramar
126,Nantucket,US,71.02,clear sky,41.2835,-70.0995,Jared Coffin House
