City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mareeba,AU,-17.0,145.4333,72.45,64,0,3.06,clear sky
1,Carnarvon,AU,-24.8667,113.6333,69.58,22,0,9.75,clear sky
2,Avarua,CK,-21.2078,-159.775,75.25,57,20,6.91,few clouds
3,Lodwar,KE,3.1191,35.5973,76.93,57,99,11.1,light rain
4,Sabang,ID,5.8933,95.3214,83.16,74,96,11.25,overcast clouds
5,Manaira,BR,-7.7061,-38.1544,63.72,97,46,4.9,scattered clouds
6,Pevek,RU,69.7008,170.3133,34.05,85,57,10.74,broken clouds
7,Iqaluit,CA,63.7506,-68.5145,38.93,87,75,4.61,broken clouds
8,Provideniya,RU,64.3833,-173.3,50.36,87,75,11.18,broken clouds
9,Ribeira Grande,PT,38.5167,-28.7,65.98,79,94,14.18,overcast clouds
10,Minab,IR,27.1467,57.0801,89.92,62,100,0.0,haze
11,Bandarbeyla,SO,9.4942,50.8122,78.84,62,39,32.82,scattered clouds
12,Lamar,US,33.6668,-95.5836,89.58,45,0,6.91,clear sky
13,Starosubkhangulovo,RU,53.1031,57.4423,57.06,91,68,5.82,broken clouds
14,Albany,US,42.6001,-73.9662,66.06,84,13,4.12,few clouds
15,Ushuaia,AR,-54.8,-68.3,28.06,74,0,8.05,clear sky
16,Yar-Sale,RU,66.8333,70.8333,58.75,72,98,6.82,overcast clouds
17,Surt,LY,31.2089,16.5887,79.14,83,0,5.84,clear sky
18,Georgetown,MY,5.4112,100.3354,87.73,75,20,5.75,few clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,50.09,94,100,0.0,fog
20,Tornio,FI,65.8481,24.1466,50.02,75,3,3.65,clear sky
21,Hermanus,ZA,-34.4187,19.2345,53.11,68,25,11.07,scattered clouds
22,Rikitea,PF,-23.1203,-134.9692,74.46,75,45,16.82,scattered clouds
23,Leesburg,US,39.1157,-77.5636,78.94,87,0,8.05,clear sky
24,Mataura,NZ,-46.1927,168.8643,46.47,70,100,3.76,overcast clouds
25,Saint-Pierre,RE,-21.3393,55.4781,67.91,66,75,8.05,broken clouds
26,Tall Kayf,TR,37.0833,41.0667,75.54,36,3,2.28,clear sky
