City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2022-07-07 04:06:31,-38.0023,-57.5575,50.09,87,100,4.0
1,Kodiak,US,2022-07-07 04:06:31,57.79,-152.4072,54.91,88,100,6.91
2,Katsuura,JP,2022-07-07 04:06:32,35.1333,140.3,82.42,82,71,15.43
3,Jutai,BR,2022-07-07 04:06:32,-5.1833,-68.9,72.81,96,76,1.77
4,Carnarvon,AU,2022-07-07 03:58:21,-24.8667,113.6333,71.89,20,0,9.44
5,Avarua,CK,2022-07-07 03:59:38,-21.2078,-159.775,73.45,60,57,14.2
6,Ponta Do Sol,PT,2022-07-07 04:06:33,32.6667,-17.1,68.63,75,1,3.56
7,Vaini,TO,2022-07-07 03:58:26,-21.2,-175.2,75.36,73,20,8.05
8,Nenjiang,CN,2022-07-07 04:06:33,49.1833,125.2167,82.2,46,34,10.85
9,Geraldton,AU,2022-07-07 04:06:34,-28.7667,114.6,68.41,40,0,8.05
10,Alta Floresta,BR,2022-07-07 04:06:34,-9.8756,-56.0861,68.13,53,16,2.48
11,Rikitea,PF,2022-07-07 03:56:58,-23.1203,-134.9692,74.41,76,59,19.33
12,Ilmajoki,FI,2022-07-07 04:06:35,62.7333,22.5667,54.99,72,0,6.91
13,Lagunas,PE,2022-07-07 04:06:35,-5.2269,-75.6753,71.53,96,10,1.63
14,Hamilton,US,2022-07-07 04:06:36,39.1834,-84.5333,75.06,96,99,5.41
15,Ixtapa,MX,2022-07-07 04:04:52,20.7,-105.2,81.23,89,75,4.61
16,Bethel,US,2022-07-07 03:59:41,41.3712,-73.414,73.65,83,42,4.83
17,Hithadhoo,MV,2022-07-07 03:55:19,-0.6,73.0833,82.26,76,82,10.31
18,Cherskiy,RU,2022-07-07 03:58:19,68.75,161.3,55.81,49,98,8.84
19,Airai,TL,2022-07-07 04:06:37,-8.9266,125.4092,66.54,58,100,2.89
20,Aksarka,RU,2022-07-07 04:06:38,66.5606,67.7975,67.96,62,22,7.27
21,Hasaki,JP,2022-07-07 03:59:45,35.7333,140.8333,82.29,83,14,18.68
22,Tuatapere,NZ,2022-07-07 04:06:38,-46.1333,167.6833,45.28,76,100,4.21
23,Ushuaia,AR,2022-07-07 03:53:14,-54.8,-68.3,29.86,69,0,6.91
24,Kauhajoki,FI,2022-07-07 04:06:39,62.4333,22.1833,53.76,83,89,4.68
25,Atuona,PF,2022-07-07 04:06:39,-9.8,-139.0333,77.68,80,26,25.57
26,Huntington,US,2022-07-07 04:04:31,38.4193,-82.4452,73.35,96,100,4.79
27,Ilulissat,GL,2022-07-07 04:06:40,69.2167,-51.1,39.22,100,100,4.61
28,Barrow,US,2022-07-07 03:59:37,71.2906,-156.7887,46.42,87,100,11.5
29,Nikolskoye,RU,2022-07-07 03:58:24,59.7035,30.7861,64.87,90,100,2.95
30,Castro,BR,2022-07-07 04:06:41,-24.7911,-50.0119,54.27,71,100,3.42
31,Necochea,AR,2022-07-07 04:06:42,-38.5473,-58.7368,50.61,59,100,13.89
32,Coquimbo,CL,2022-07-07 04:06:42,-29.9533,-71.3436,49.73,76,0,8.05
33,Ballina,AU,2022-07-07 04:06:42,-28.8667,153.5667,72.01,73,83,9.84
34,Suoyarvi,RU,2022-07-07 04:06:43,62.0833,32.35,60.13,69,100,4.5
35,Berlevag,NO,2022-07-07 04:06:43,70.8578,29.0864,55.4,71,100,9.22
36,Miyako,JP,2022-07-07 04:06:44,39.6367,141.9525,71.87,87,92,8.12
37,Punta Arenas,CL,2022-07-07 03:57:01,-53.15,-70.9167,30.31,93,0,12.66
